model,line_name,planning_year,case,unit,start_value,end_value
SWITCH,SPPS_to_MISS,2035,base_52_week,MW,18667.00001630371,21359.0890008568
SWITCH,SPPS_to_SRSG,2035,base_52_week,MW,8184.751023750215,8668.492320082298
SWITCH,SPPS_to_SPPN,2035,base_52_week,MW,5402.606373557447,5718.341322619621
SWITCH,RMRG_to_NWPP,2035,base_52_week,MW,3677.713165041136,5022.234193354212
SWITCH,RMRG_to_SRSG,2035,base_52_week,MW,975.312048029074,2102.896575772633
SWITCH,MISS_to_SRSE,2035,base_52_week,MW,7881.103920137477,7881.103921986011
SWITCH,CASO_to_NWPP,2035,base_52_week,MW,2858.000000311287,2858.000001370524
SWITCH,CASO_to_SRSG,2035,base_52_week,MW,7597.687317502072,8761.234933156493
SWITCH,SPPN_to_MISW,2035,base_52_week,MW,5512.000013716409,5512.00001375355
SWITCH,NWPP_to_SPPN,2035,base_52_week,MW,557.4458789844103,1260.4685777589184
SWITCH,NWPP_to_MISW,2035,base_52_week,MW,200.00000010852293,200.00000050137407
SWITCH,RMRG_to_SPPN,2035,base_52_week,MW,3667.5624709033655,3991.39800402139
SWITCH,RMRG_to_SPPC,2035,base_52_week,MW,6185.733851735088,8736.653136416768
SWITCH,SRSG_to_TRE,2035,base_52_week,MW,1564.8330534971196,2424.4395163574472
SWITCH,PJMC_to_MISC,2040,base_52_week,MW,5244.000000969919,5244.000001255813
SWITCH,PJMC_to_PJMW,2040,base_52_week,MW,10570.975652748792,11392.030093908734
SWITCH,PJMC_to_MISW,2040,base_52_week,MW,9118.050159800232,10548.662025935017
SWITCH,PJME_to_NYUP,2040,base_52_week,MW,8563.42737185275,9636.69723158469
SWITCH,PJME_to_PJMW,2040,base_52_week,MW,27297.520852935337,39224.60106027553
SWITCH,PJME_to_NYCW,2040,base_52_week,MW,9744.137925438745,10977.906440325149
SWITCH,PJME_to_PJMD,2040,base_52_week,MW,4021.33952542328,5090.818364853789
SWITCH,MISE_to_MISC,2040,base_52_week,MW,2155.0745614034754,2289.9716259538877
SWITCH,MISE_to_PJMW,2040,base_52_week,MW,2662.000001741081,2662.0000020239268
SWITCH,MISE_to_MISW,2040,base_52_week,MW,800.0709158569815,800.0709158810108
SWITCH,ISNE_to_NYUP,2040,base_52_week,MW,9867.87444403736,10637.691001938112
SWITCH,ISNE_to_NYCW,2040,base_52_week,MW,760.000000035921,760.0000001579842
SWITCH,MISC_to_SPPC,2040,base_52_week,MW,8210.24404960011,8612.289837498063
SWITCH,MISC_to_PJMW,2040,base_52_week,MW,5441.000009477023,6996.0437911109
SWITCH,MISC_to_SRCE,2040,base_52_week,MW,3745.000000932351,3745.000001038062
SWITCH,MISC_to_SPPS,2040,base_52_week,MW,4286.506566845718,5007.826318623585
SWITCH,MISC_to_MISS,2040,base_52_week,MW,1039.000009972866,1039.0000099949846
SWITCH,MISC_to_SPPN,2040,base_52_week,MW,1529.0157491117038,1885.5171195488667
SWITCH,MISC_to_MISW,2040,base_52_week,MW,1655.0000005536435,1655.000000627785
SWITCH,CANO_to_BASN,2040,base_52_week,MW,100.00000051761413,100.00000059969476
SWITCH,CANO_to_CASO,2040,base_52_week,MW,3675.000016121371,3675.0000161234425
SWITCH,CANO_to_NWPP,2040,base_52_week,MW,3675.000000206264,3675.000000424964
SWITCH,TREW_to_TRE,2040,base_52_week,MW,16529.000000652057,16529.00000098727
SWITCH,TREW_to_SPPS,2040,base_52_week,MW,6899.083097210533,6899.083097398066
SWITCH,SPPC_to_SPPS,2040,base_52_week,MW,3898.780347847181,4272.747739129452
SWITCH,SPPC_to_MISS,2040,base_52_week,MW,3014.5584880574443,3014.558488257599
SWITCH,SPPC_to_SPPN,2040,base_52_week,MW,2939.4347632596114,2939.434765631278
SWITCH,SPPC_to_MISW,2040,base_52_week,MW,0.0001646994291515,0.0002275479859802
SWITCH,FRCC_to_SRSE,2040,base_52_week,MW,3600.000005012738,3600.000005023412
SWITCH,TRE_to_SPPS,2040,base_52_week,MW,8242.533433237733,8242.533435465017
SWITCH,SRCA_to_PJMW,2040,base_52_week,MW,1219.0000023654577,1219.0000027196184
SWITCH,SRCA_to_SRCE,2040,base_52_week,MW,216.00000062827027,216.00000104965733
SWITCH,SRCA_to_PJMD,2040,base_52_week,MW,1124.9014735283286,1935.3331104896852
SWITCH,SRCA_to_SRSE,2040,base_52_week,MW,1400.0000009119813,1400.00000091667
SWITCH,NYUP_to_NYCW,2040,base_52_week,MW,4388.948211284661,4388.94821128887
SWITCH,PJMW_to_SRCE,2040,base_52_week,MW,3333.0000009674336,3333.0000010181234
