model,line_name,planning_year,case,unit,value
SWITCH,PJMC_to_MISW,2040,base_52_week,MW,1430.6118661347846
SWITCH,PJME_to_NYUP,2040,base_52_week,MW,1073.2698597319413
SWITCH,PJME_to_PJMW,2040,base_52_week,MW,11927.08020734019
SWITCH,PJME_to_NYCW,2040,base_52_week,MW,1233.7685148864039
SWITCH,PJME_to_PJMD,2040,base_52_week,MW,1069.4788394305087
SWITCH,MISE_to_MISC,2040,base_52_week,MW,134.89706455041232
SWITCH,MISE_to_PJMW,2040,base_52_week,MW,2.828455762937665e-07
SWITCH,MISE_to_MISW,2040,base_52_week,MW,2.402930476819165e-08
SWITCH,ISNE_to_NYUP,2040,base_52_week,MW,769.8165579007527
SWITCH,ISNE_to_NYCW,2040,base_52_week,MW,1.220632839249447e-07
SWITCH,MISC_to_SPPC,2040,base_52_week,MW,402.0457878979523
SWITCH,MISC_to_PJMW,2040,base_52_week,MW,1555.0437816338772
SWITCH,MISC_to_SRCE,2040,base_52_week,MW,1.0571056918706745e-07
SWITCH,MISC_to_SPPS,2040,base_52_week,MW,721.3197517778672
SWITCH,MISC_to_MISS,2040,base_52_week,MW,2.2118456399766728e-08
SWITCH,MISC_to_SPPN,2040,base_52_week,MW,356.5013704371629
SWITCH,MISC_to_MISW,2040,base_52_week,MW,7.414155334117822e-08
SWITCH,CANO_to_BASN,2040,base_52_week,MW,8.208063206893712e-08
SWITCH,CANO_to_CASO,2040,base_52_week,MW,2.071374183287844e-09
SWITCH,CANO_to_NWPP,2040,base_52_week,MW,2.1870027921977453e-07
SWITCH,TREW_to_TRE,2040,base_52_week,MW,3.352142812218517e-07
SWITCH,TREW_to_SPPS,2040,base_52_week,MW,1.8753235053736717e-07
SWITCH,SPPC_to_SPPS,2040,base_52_week,MW,373.96739128227136
SWITCH,SPPC_to_MISS,2040,base_52_week,MW,2.0015477275592275e-07
SWITCH,SPPC_to_SPPN,2040,base_52_week,MW,2.3716665964457206e-06
SWITCH,SPPC_to_MISW,2040,base_52_week,MW,6.284855682869999e-05
SWITCH,FRCC_to_SRSE,2040,base_52_week,MW,1.0674284567357972e-08
SWITCH,TRE_to_SPPS,2040,base_52_week,MW,2.2272834030445665e-06
SWITCH,SRCA_to_PJMW,2040,base_52_week,MW,3.541606474755099e-07
SWITCH,SRCA_to_SRCE,2040,base_52_week,MW,4.213870568037237e-07
SWITCH,SRCA_to_PJMD,2040,base_52_week,MW,810.4316369613566
SWITCH,SRCA_to_SRSE,2040,base_52_week,MW,4.688672561314888e-09
SWITCH,NYUP_to_NYCW,2040,base_52_week,MW,4.209141479805112e-09
